"name","year","selling_price","km_driven","fuel","seller_type","transmission","owner"
"Maruti Celerio Green VXI",2017.0,365000.0,78000.0,"CNG","Individual","Manual","First Owner"
"Chevrolet Sail 1.2 Base",2015.0,260000.0,35000.0,"Petrol","Individual","Manual","First Owner"
"Tata Indigo Grand Petrol",2014.0,250000.0,100000.0,"Petrol","Individual","Manual","First Owner"
"Toyota Corolla Altis 1.8 VL CVT",2018.0,1650000.0,25000.0,"Petrol","Dealer","Automatic","First Owner"
"Maruti Ciaz VXi Plus",2015.0,585000.0,24000.0,"Petrol","Dealer","Manual","First Owner"
"Hyundai Venue SX Opt Diesel",2019.0,1195000.0,5000.0,"Diesel","Dealer","Manual","First Owner"
"Chevrolet Enjoy TCDi LTZ 7 Seater",2013.0,390000.0,33000.0,"Diesel","Individual","Manual","Second Owner"
"Jaguar XF 2.2 Litre Luxury",2014.0,1964999.0,28000.0,"Diesel","Dealer","Automatic","First Owner"
"Mercedes-Benz New C-Class 220 CDI AT",2013.0,1425000.0,59000.0,"Diesel","Dealer","Automatic","First Owner"
"Maruti Vitara Brezza ZDi Plus AMT",2018.0,975000.0,4500.0,"Diesel","Dealer","Automatic","First Owner"
"Audi Q5 2.0 TDI",2011.0,1190000.0,175900.0,"Diesel","Dealer","Automatic","First Owner"
"Honda City V MT",2018.0,930000.0,14500.0,"Petrol","Dealer","Manual","First Owner"
"Tata Tigor 1.2 Revotron XT",2018.0,525000.0,15000.0,"Petrol","Individual","Manual","First Owner"
"Audi A6 2.0 TDI  Design Edition",2013.0,1735000.0,50000.0,"Diesel","Dealer","Automatic","First Owner"
"Mercedes-Benz New C-Class C 220 CDI Avantgarde",2012.0,1375000.0,33800.0,"Diesel","Dealer","Automatic","Second Owner"
"Skoda Superb Ambition 2.0 TDI CR AT",2011.0,450000.0,130400.0,"Diesel","Dealer","Automatic","Second Owner"
"Toyota Corolla Altis G AT",2016.0,900000.0,50000.0,"Petrol","Individual","Automatic","First Owner"
"Toyota Innova 2.5 G (Diesel) 7 Seater",2015.0,1300000.0,80000.0,"Diesel","Individual","Manual","First Owner"
"Jeep Compass 1.4 Sport Plus BSIV",2019.0,1400000.0,10000.0,"Petrol","Individual","Manual","First Owner"
"Mercedes-Benz E-Class E 200 CGI Elegance",2010.0,850000.0,119000.0,"Petrol","Dealer","Automatic","First Owner"
"Hyundai i10 Magna 1.1L",2014.0,229999.0,60000.0,"Petrol","Individual","Manual","Fourth & Above Owner"
"BMW 3 Series 320d Sport Line",2013.0,1550000.0,75800.0,"Diesel","Dealer","Automatic","Second Owner"
"Audi Q7 35 TDI Quattro Premium",2009.0,1250000.0,78000.0,"Diesel","Dealer","Automatic","Third Owner"
"Hyundai Elantra CRDi S",2012.0,625000.0,40000.0,"Diesel","Individual","Manual","First Owner"
"Mahindra Scorpio 1.99 S10",2014.0,1050000.0,50000.0,"Diesel","Individual","Manual","First Owner"
"Honda City i DTEC V",2014.0,560000.0,74000.0,"Diesel","Individual","Manual","Second Owner"
"Maruti Wagon R VXI BS IV with ABS",2014.0,290000.0,64000.0,"Petrol","Individual","Manual","Second Owner"
"Maruti Wagon R VXI BS IV",2012.0,275000.0,60000.0,"Petrol","Individual","Manual","Second Owner"
"Mahindra Scorpio LX",2009.0,411000.0,120000.0,"Diesel","Individual","Manual","Second Owner"
"Hyundai Santro Xing GLS",2009.0,150000.0,79000.0,"Petrol","Individual","Manual","Third Owner"
"Hyundai Grand i10 1.2 Kappa Asta",2019.0,500000.0,15000.0,"Petrol","Individual","Manual","First Owner"
"Maruti Alto LXi",2006.0,100000.0,80000.0,"Petrol","Individual","Manual","First Owner"
"Maruti Swift Dzire VDI Optional",2017.0,725000.0,18500.0,"Diesel","Dealer","Manual","First Owner"
"Maruti Eeco 5 Seater AC BSIV",2018.0,401000.0,10200.0,"Petrol","Dealer","Manual","First Owner"
"Hyundai i20 Sportz 1.4 CRDi",2018.0,750000.0,29000.0,"Diesel","Dealer","Manual","First Owner"
"Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER",2018.0,310000.0,28000.0,"Petrol","Dealer","Manual","First Owner"
"Maruti Swift ZDi BSIV",2016.0,665000.0,46000.0,"Diesel","Dealer","Manual","First Owner"
"Hyundai i20 2015-2017 Sportz Option 1.4 CRDi",2014.0,465000.0,70000.0,"Diesel","Dealer","Manual","First Owner"
"Maruti Alto LXi",2012.0,160000.0,60000.0,"Petrol","Individual","Manual","Second Owner"
"Mahindra Jeep CL 500 MDI",1996.0,250000.0,35000.0,"Diesel","Individual","Manual","Second Owner"
"Honda City i DTEC VX",2014.0,675000.0,90000.0,"Diesel","Dealer","Manual","First Owner"
"Maruti Wagon R VXI BS IV",2013.0,300000.0,80000.0,"Petrol","Dealer","Manual","First Owner"
"Tata Indica DLS",2005.0,70000.0,80000.0,"Diesel","Individual","Manual","First Owner"
"Hyundai EON Magna Plus",2014.0,240000.0,73300.0,"Petrol","Dealer","Manual","Second Owner"
"Toyota Etios GD",2014.0,525000.0,92000.0,"Diesel","Dealer","Manual","First Owner"
"Maruti Alto LXi",2009.0,151000.0,66764.0,"Petrol","Dealer","Manual","Second Owner"
"Maruti Alto LXi",2009.0,140000.0,100000.0,"Petrol","Individual","Manual","First Owner"
"Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII",2010.0,280000.0,350000.0,"Diesel","Individual","Manual","Second Owner"
"Toyota Corolla Altis Diesel D4DG",2011.0,350000.0,230000.0,"Diesel","Individual","Manual","First Owner"
"Mahindra Scorpio 1.99 S6 Plus",2017.0,570000.0,60000.0,"Diesel","Individual","Manual","First Owner"
"Hyundai EON Magna Plus",2018.0,300000.0,31000.0,"Petrol","Individual","Manual","First Owner"
"Tata Indigo Classic Dicor",2007.0,100000.0,39000.0,"Diesel","Individual","Manual","First Owner"
"Toyota Innova 2.5 V Diesel 8-seater",2009.0,500000.0,120000.0,"Diesel","Individual","Manual","Third Owner"
"Tata Indica Vista Quadrajet LS",2014.0,125000.0,166000.0,"Diesel","Individual","Manual","Fourth & Above Owner"
"Maruti Swift 1.3 VXi",2006.0,130000.0,110000.0,"Petrol","Individual","Manual","Third Owner"
"Ford EcoSport 1.5 Diesel Titanium BSIV",2017.0,925000.0,35000.0,"Diesel","Individual","Manual","First Owner"
"Maruti Ciaz 1.3 Delta",2018.0,750000.0,60000.0,"Diesel","Individual","Manual","First Owner"
"Honda Civic 1.8 V AT",2007.0,200000.0,54000.0,"Petrol","Individual","Automatic","Second Owner"
"Hyundai i10 Sportz 1.2",2010.0,248000.0,63000.0,"Petrol","Individual","Manual","Second Owner"
"Skoda Rapid 1.5 TDI Elegance",2014.0,450000.0,120000.0,"Diesel","Individual","Manual","Second Owner"
"Hyundai Getz GLS",2005.0,80000.0,120000.0,"Petrol","Individual","Manual","Third Owner"
"Nissan Terrano XL",2014.0,650000.0,76000.0,"Petrol","Individual","Manual","Second Owner"
"Hyundai Grand i10 CRDi Sportz",2015.0,450000.0,80000.0,"Diesel","Individual","Manual","First Owner"
"Hyundai Elite i20 Diesel Era",2019.0,650000.0,25000.0,"Diesel","Individual","Manual","First Owner"
"Honda Amaze S i-VTEC",2016.0,495000.0,11958.0,"Petrol","Dealer","Manual","First Owner"
"Honda Brio S MT",2015.0,371000.0,20000.0,"Petrol","Dealer","Manual","First Owner"
"Hyundai Creta 1.6 SX Option",2017.0,1025000.0,9000.0,"Petrol","Dealer","Manual","First Owner"
"Mercedes-Benz S-Class S 350d Connoisseurs Edition",2017.0,8150000.0,6500.0,"Diesel","Dealer","Automatic","First Owner"
"Mahindra XUV500 W8 2WD",2015.0,750000.0,70000.0,"Diesel","Individual","Manual","First Owner"
"Renault Duster 85PS Diesel RxL Optional",2013.0,600000.0,120000.0,"Diesel","Individual","Manual","First Owner"
"Hyundai Santro Xing XO",2007.0,80000.0,58000.0,"Petrol","Dealer","Manual","Second Owner"
"Mahindra Bolero 2011-2019 SLE",2013.0,325000.0,62200.0,"Diesel","Dealer","Manual","First Owner"
"Audi A6 2.0 TDI Premium Plus",2014.0,1470000.0,34000.0,"Diesel","Dealer","Automatic","Second Owner"
"Fiat Avventura MULTIJET Emotion",2015.0,350000.0,53000.0,"Diesel","Individual","Manual","Second Owner"
"Audi A8 4.2 TDI",2013.0,2800000.0,49000.0,"Diesel","Dealer","Automatic","First Owner"
"Datsun RediGO 1.0 S",2017.0,210000.0,15000.0,"Petrol","Dealer","Manual","Second Owner"
"Volkswagen Jetta 1.4 TSI Comfortline",2013.0,450000.0,50000.0,"Petrol","Individual","Manual","First Owner"
"Audi A4 2.0 TDI 177 Bhp Premium Plus",2013.0,1150000.0,53000.0,"Diesel","Dealer","Automatic","First Owner"
